date,open,high,low,close,volume,date_1w,open_1w,high_1w,low_1w,close_1w,volume_1w,extrema_1w,change_1w
2024-12-20 22:15:00+00:00,0.9227,0.945,0.922,0.9417,6959190.0,,,,,,,,
2024-12-20 22:30:00+00:00,0.9417,0.9471,0.9351,0.9449,4978677.0,,,,,,,,
2024-12-20 22:45:00+00:00,0.9449,0.9471,0.9408,0.9442,2733606.0,,,,,,,,
2024-12-20 23:00:00+00:00,0.9442,0.9536,0.9406,0.9516,5544203.0,,,,,,,,
2024-12-20 23:15:00+00:00,0.9516,0.9578,0.9469,0.957,2993379.0,,,,,,,,
2024-12-20 23:30:00+00:00,0.957,0.9596,0.9459,0.9483,11073137.0,,,,,,,,
2024-12-20 23:45:00+00:00,0.9483,0.953,0.944,0.9493,3721664.0,,,,,,,,
2024-12-21 00:00:00+00:00,0.9493,0.9545,0.9462,0.9499,2333578.0,,,,,,,,
2024-12-21 00:15:00+00:00,0.9499,0.9521,0.9446,0.9475,2978513.0,,,,,,,,
2024-12-21 00:30:00+00:00,0.9475,0.9481,0.9383,0.9388,1832940.0,,,,,,,,
2024-12-21 00:45:00+00:00,0.9388,0.9409,0.9357,0.939,1343923.0,,,,,,,,
2024-12-21 01:00:00+00:00,0.939,0.951,0.9376,0.9473,2536799.0,,,,,,,,
2024-12-21 01:15:00+00:00,0.9473,0.9511,0.9416,0.9442,1844558.0,,,,,,,,
2024-12-21 01:30:00+00:00,0.9442,0.9453,0.9388,0.9429,1779789.0,,,,,,,,
2024-12-21 01:45:00+00:00,0.9429,0.9473,0.942,0.9446,1081327.0,,,,,,,,
2024-12-21 02:00:00+00:00,0.9446,0.9456,0.9383,0.9433,1667655.0,,,,,,,,
2024-12-21 02:15:00+00:00,0.9433,0.9527,0.9422,0.9474,2138900.0,,,,,,,,
2024-12-21 02:30:00+00:00,0.9474,0.96,0.9461,0.9568,2943534.0,,,,,,,,
2024-12-21 02:45:00+00:00,0.9568,0.9593,0.9482,0.9491,2312132.0,,,,,,,,
2024-12-21 03:00:00+00:00,0.9491,0.9524,0.9425,0.9431,1697601.0,,,,,,,,
2024-12-21 03:15:00+00:00,0.9431,0.9479,0.9431,0.944,1335543.0,,,,,,,,
2024-12-21 03:30:00+00:00,0.944,0.947,0.9395,0.9418,1283324.0,,,,,,,,
2024-12-21 03:45:00+00:00,0.9418,0.948,0.9416,0.948,922515.0,,,,,,,,
2024-12-21 04:00:00+00:00,0.948,0.952,0.9454,0.95,1624250.0,,,,,,,,
2024-12-21 04:15:00+00:00,0.95,0.9522,0.9472,0.9503,1860720.0,,,,,,,,
2024-12-21 04:30:00+00:00,0.9503,0.9546,0.9489,0.9522,2867050.0,,,,,,,,
2024-12-21 04:45:00+00:00,0.9522,0.9581,0.9493,0.9562,3967097.0,,,,,,,,
2024-12-21 05:00:00+00:00,0.9562,0.9618,0.9544,0.9613,3372195.0,,,,,,,,
2024-12-21 05:15:00+00:00,0.9613,0.9613,0.9516,0.9544,2438241.0,,,,,,,,
2024-12-21 05:30:00+00:00,0.9544,0.9638,0.9537,0.9621,3254485.0,,,,,,,,
2024-12-21 05:45:00+00:00,0.9621,0.9737,0.961,0.9733,8096341.0,,,,,,,,
2024-12-21 06:00:00+00:00,0.9733,0.9811,0.9696,0.9799,6070074.0,,,,,,,,
2024-12-21 06:15:00+00:00,0.9799,0.9826,0.9741,0.9778,5206656.0,,,,,,,,
2024-12-21 06:30:00+00:00,0.9778,0.9829,0.9753,0.9797,4843676.0,,,,,,,,
2024-12-21 06:45:00+00:00,0.9797,0.9863,0.9792,0.9829,7679919.0,,,,,,,,
2024-12-21 07:00:00+00:00,0.9829,0.9849,0.9797,0.9797,4642656.0,,,,,,,,
2024-12-21 07:15:00+00:00,0.9797,0.986,0.9757,0.9856,7307924.0,,,,,,,,
2024-12-21 07:30:00+00:00,0.9856,0.9975,0.983,0.9956,7195486.0,,,,,,,,
2024-12-21 07:45:00+00:00,0.9956,0.9956,0.9882,0.9883,6126076.0,,,,,,,,
2024-12-21 08:00:00+00:00,0.9883,0.9953,0.9817,0.9882,7976557.0,,,,,,,,
2024-12-21 08:15:00+00:00,0.9882,0.989,0.9751,0.9752,8168375.0,,,,,,,,
2024-12-21 08:30:00+00:00,0.9752,0.9791,0.964,0.9653,6216160.0,,,,,,,,
2024-12-21 08:45:00+00:00,0.9653,0.9698,0.9625,0.9629,4889560.0,,,,,,,,
2024-12-21 09:00:00+00:00,0.9629,0.9653,0.9543,0.9561,6457094.0,,,,,,,,
2024-12-21 09:15:00+00:00,0.9561,0.9597,0.9527,0.9585,7441962.0,,,,,,,,
2024-12-21 09:30:00+00:00,0.9585,0.9656,0.9559,0.9648,4485581.0,,,,,,,,
2024-12-21 09:45:00+00:00,0.9648,0.9714,0.96,0.9702,4793634.0,,,,,,,,
2024-12-21 10:00:00+00:00,0.9702,0.9762,0.9671,0.9722,4841076.0,,,,,,,,
2024-12-21 10:15:00+00:00,0.9722,0.9808,0.9693,0.9808,2224556.0,,,,,,,,
2024-12-21 10:30:00+00:00,0.9808,0.9821,0.9626,0.9631,6891490.0,,,,,,,,
2024-12-21 10:45:00+00:00,0.9631,0.9699,0.9615,0.9695,5654567.0,,,,,,,,
2024-12-21 11:00:00+00:00,0.9695,0.9732,0.9629,0.965,8285542.0,,,,,,,,
2024-12-21 11:15:00+00:00,0.965,0.9681,0.9507,0.9538,8803227.0,,,,,,,,
2024-12-21 11:30:00+00:00,0.9538,0.9609,0.9513,0.9601,4643980.0,,,,,,,,
2024-12-21 11:45:00+00:00,0.9601,0.9643,0.9558,0.9592,4212941.0,,,,,,,,
2024-12-21 12:00:00+00:00,0.9592,0.9593,0.941,0.945,13379465.0,,,,,,,,
2024-12-21 12:15:00+00:00,0.945,0.9507,0.9401,0.9402,4102278.0,,,,,,,,
2024-12-21 12:30:00+00:00,0.9402,0.9406,0.9226,0.924,13491171.0,,,,,,,,
2024-12-21 12:45:00+00:00,0.924,0.9314,0.9211,0.9219,10931841.0,,,,,,,,
2024-12-21 13:00:00+00:00,0.9219,0.9285,0.9173,0.9191,11808129.0,,,,,,,,
2024-12-21 13:15:00+00:00,0.9191,0.92,0.8979,0.9004,23138840.0,,,,,,,,
2024-12-21 13:30:00+00:00,0.9004,0.9169,0.8909,0.9148,17907890.0,,,,,,,,
2024-12-21 13:45:00+00:00,0.9148,0.9249,0.9111,0.9204,13257848.0,,,,,,,,
2024-12-21 14:00:00+00:00,0.9204,0.9299,0.9196,0.927,8403055.0,,,,,,,,
2024-12-21 14:15:00+00:00,0.927,0.9291,0.9154,0.9224,10949420.0,,,,,,,,
2024-12-21 14:30:00+00:00,0.9224,0.9268,0.9141,0.915,8068665.0,,,,,,,,
2024-12-21 14:45:00+00:00,0.915,0.9243,0.9103,0.9123,5949166.0,,,,,,,,
2024-12-21 15:00:00+00:00,0.9123,0.9222,0.9119,0.9152,7286605.0,,,,,,,,
2024-12-21 15:15:00+00:00,0.9152,0.9249,0.9148,0.9211,3218621.0,,,,,,,,
2024-12-21 15:30:00+00:00,0.9211,0.925,0.9163,0.9176,3366612.0,,,,,,,,
2024-12-21 15:45:00+00:00,0.9176,0.9246,0.9172,0.9205,3640776.0,,,,,,,,
2024-12-21 16:00:00+00:00,0.9205,0.9212,0.9039,0.9171,9528592.0,,,,,,,,
2024-12-21 16:15:00+00:00,0.9171,0.923,0.9142,0.9189,7263597.0,,,,,,,,
2024-12-21 16:30:00+00:00,0.9189,0.9209,0.9029,0.9044,7145303.0,,,,,,,,
2024-12-21 16:45:00+00:00,0.9044,0.9123,0.9032,0.9074,4899532.0,,,,,,,,
2024-12-21 17:00:00+00:00,0.9074,0.9138,0.8988,0.906,6065273.0,,,,,,,,
2024-12-21 17:15:00+00:00,0.906,0.9115,0.8991,0.9073,4402061.0,,,,,,,,
2024-12-21 17:30:00+00:00,0.9073,0.9106,0.9,0.9047,4043950.0,,,,,,,,
2024-12-21 17:45:00+00:00,0.9047,0.9186,0.9045,0.9141,4348812.0,,,,,,,,
2024-12-21 18:00:00+00:00,0.9141,0.9185,0.9079,0.9081,3090698.0,,,,,,,,
2024-12-21 18:15:00+00:00,0.9081,0.9147,0.9067,0.9077,2545469.0,,,,,,,,
2024-12-21 18:30:00+00:00,0.9077,0.9095,0.9003,0.9065,7322215.0,,,,,,,,
2024-12-21 18:45:00+00:00,0.9065,0.9065,0.8975,0.9019,10469169.0,,,,,,,,
2024-12-21 19:00:00+00:00,0.9019,0.9027,0.8879,0.8918,15406738.0,,,,,,,,
2024-12-21 19:15:00+00:00,0.8918,0.9001,0.8868,0.895,8484994.0,,,,,,,,
2024-12-21 19:30:00+00:00,0.895,0.9016,0.8861,0.8985,9531041.0,,,,,,,,
2024-12-21 19:45:00+00:00,0.8985,0.9041,0.8907,0.9041,5994861.0,,,,,,,,
2024-12-21 20:00:00+00:00,0.9041,0.9145,0.8978,0.9125,7818223.0,,,,,,,,
2024-12-21 20:15:00+00:00,0.9125,0.9165,0.9058,0.914,4458761.0,,,,,,,,
2024-12-21 20:30:00+00:00,0.914,0.9145,0.9091,0.9096,2467701.0,,,,,,,,
2024-12-21 20:45:00+00:00,0.9096,0.9118,0.9049,0.9075,1970385.0,,,,,,,,
2024-12-21 21:00:00+00:00,0.9075,0.9113,0.9043,0.9063,3454575.0,,,,,,,,
